id,water,hydrogen,oxygen,rock,iron_ore,steel,aluminium_ore,aluminium,food,biomass,waste,co2,carbon,polymers,electronics
shpmod_heatshield, , , , , , , , , , , , , , , 
shpmod_droptank_water, , , , , , , , , , , , , , , 
shpmod_droptank_hydrogen, , , , , , , , , , , , , , , 
shpmod_water_extractor,10, , , , , , , , , , , , , , 
shpmod_rock_extractor_primitive, , , ,50, , , , , , , , , , , 
shpmod_rock_extractor, , , ,300, , , , , , , , , , , 
shpmod_ore_extractor, , , ,-200,4, ,4, , , , , , , , 
shpmod_carbon_extractor, , , , , , , , , , , , ,8, , 
shpmod_electrolyser,-20,2,18, , , , , , , , , , , , 
shpmod_fuel_cell,20,-2,-18, , , , , , , , , , , , 
shpmod_steel_smelter,7,-1, , ,-20,14, , , , , , , , , 
shpmod_aluminium_smelter, , , , , , ,-17,9, , , ,11,-3, , 
shpmod_rock_habitat,-10, ,-20, , , , , ,-10, ,20,10, , , 
shpmod_habitat,-10, ,-10, , , , , ,-10, ,20,10, , , 
shpmod_research_lab,-10, ,-10, , , , , ,-10, ,20,10, , , 
shpmod_carbon_splitter, , ,8, , , , , , , , ,-11,3, , 
shpmod_waste_treatment,10, ,-10, , , , , , ,10,-10, , , , 
shpmod_farms, , ,10, , , , , ,10,-10, ,-10, , , 
shpmod_polymers, ,-1,-1, , , , , , , , , ,-2,3, 
shpmod_electronics,-60, , ,-30, , , ,-3, , ,60, , ,-2,3
shpmod_manufacture_offices, , , , , , , , , , , , , , , 
shpmod_large_storage, , , , , , , , , , , , , , , 
shpmod_workshop, , , , , , , , , , , , , , , 
shpmod_wetdock, , , , , , , , , , , , , , , 
shpmod_drydock, , ,-2, , , , , , , , , , , , 
shpmod_cleanroom, , , , , , , , , , , , , , , 
shpmod_railgun, , , , , , , , , , , , , , , 
shpmod_missiles, , , , , , , , , , , , , , , 
shpmod_light_armor, , , , , , , , , , , , , , , 
shpmod_armor, , , , , , , , , , , , , , , 
shpmod_pdc, , , , , , , , , , , , , , , 
shpmod_acs, , , , , , , , , , , , , , , 
shpmod_reactor, , , , , , , , , , , , , , , 
shpmod_geothermal, , , , , , , , , , , , , , , 
shpmod_exp_brigade, , , , , , , , ,, , , , , , 
shpmod_invasion_equipment, , , , , , , , , , , , , , , 
shpmod_aircraft, , , , , , , , , , , , , , , 
shpmod_armory, , , , , , , , , , , , , , , 
shpmod_embassy, , , , , , , , , , , , , , , 
shpmod_boost_init, , , , , , , , , , , , , , , 
shpmod_sail_small, , , , , , , , , , , , , , , 
shpmod_sail_medium, , , , , , , , , , , , , , , 
shpmod_sail_large, , , , , , , , , , , , , , , 
shpmod_reactor_industrial, , , , , , , , , , , , , , , 
shpmod_heatpump,,,,,,,,,,,,,,,
shpmod_industrial_heatpump,,,,,,,,,,,,,,,
